iter	Passed	Remaining
418	2482	3442
419	2488	3436
420	2493	3429
421	2499	3423
422	2504	3416
423	2510	3410
424	2515	3403
425	2520	3396
426	2526	3389
427	2531	3383
428	2536	3376
429	2542	3370
430	2547	3363
431	2552	3356
432	2558	3350
433	2563	3343
434	2569	3337
435	2574	3330
436	2580	3324
437	2585	3318
438	2591	3311
439	2597	3305
440	2602	3299
441	2608	3293
442	2614	3287
443	2620	3281
444	2625	3274
445	2631	3268
446	2636	3261
447	2641	3254
448	2646	3247
449	2651	3240
450	2657	3234
451	2662	3228
452	2668	3222
453	2674	3216
454	2679	3209
455	2685	3203
456	2690	3197
457	2697	3191
458	2702	3185
459	2708	3179
460	2713	3173
461	2719	3166
462	2725	3160
463	2730	3154
464	2736	3148
465	2742	3142
466	2747	3135
467	2753	3129
468	2758	3123
469	2764	3117
470	2769	3110
471	2775	3104
472	2781	3098
473	2786	3092
474	2792	3086
475	2798	3080
476	2803	3073
477	2809	3068
478	2814	3061
479	2820	3055
480	2826	3049
481	2832	3043
482	2837	3037
483	2843	3031
484	2848	3025
485	2854	3018
486	2859	3012
487	2865	3006
488	2872	3001
489	2878	2996
490	2884	2990
491	2890	2984
492	2895	2977
493	2901	2971
494	2906	2965
495	2912	2959
496	2917	2952
497	2922	2945
498	2927	2939
499	2933	2933
500	2938	2926
501	2943	2920
502	2948	2913
503	2953	2906
504	2959	2901
505	2965	2895
506	2971	2889
507	2977	2883
508	2983	2877
509	2989	2872
510	2994	2866
511	3000	2859
512	3006	2853
513	3011	2847
514	3016	2841
515	3022	2835
516	3027	2828
517	3034	2823
518	3039	2817
519	3045	2811
520	3050	2804
521	3056	2799
522	3062	2792
523	3068	2787
524	3074	2781
525	3080	2775
526	3085	2769
527	3092	2764
528	3098	2758
529	3103	2752
530	3109	2746
531	3114	2740
532	3120	2733
533	3126	2728
534	3131	2722
535	3137	2715
536	3143	2709
537	3148	2703
538	3154	2698
539	3160	2691
540	3165	2685
541	3171	2679
542	3176	2673
543	3182	2667
544	3188	2661
545	3193	2655
546	3198	2649
547	3204	2643
548	3210	2637
549	3215	2630
550	3221	2625
551	3227	2619
552	3233	2613
553	3239	2607
554	3244	2601
555	3250	2595
556	3256	2589
557	3262	2583
558	3267	2577
559	3272	2571
560	3278	2565
561	3284	2559
562	3290	2554
563	3296	2548
564	3301	2542
565	3307	2535
566	3312	2529
567	3318	2523
568	3323	2517
569	3329	2511
570	3335	2505
571	3341	2500
572	3347	2494
573	3352	2488
574	3358	2482
575	3364	2476
576	3370	2470
577	3375	2464
578	3381	2458
579	3387	2452
580	3392	2446
581	3398	2440
582	3404	2435
583	3409	2429
584	3415	2422
585	3421	2417
586	3426	2410
587	3432	2405
588	3438	2399
589	3444	2393
590	3449	2387
591	3454	2381
592	3460	2374
593	3465	2368
594	3471	2363
595	3477	2357
596	3483	2351
597	3489	2345
598	3495	2339
599	3501	2334
600	3507	2328
601	3514	2323
602	3520	2318
603	3527	2312
604	3534	2307
605	3541	2302
606	3547	2296
607	3554	2291
608	3560	2285
609	3567	2280
610	3573	2275
611	3579	2269
612	3586	2264
613	3592	2258
614	3599	2253
615	3605	2247
616	3610	2241
617	3617	2235
618	3622	2229
619	3628	2223
620	3634	2218
621	3640	2212
622	3646	2206
623	3652	2200
624	3658	2195
625	3664	2189
626	3671	2183
627	3676	2177
628	3683	2172
629	3689	2166
630	3695	2161
631	3701	2155
632	3706	2149
633	3712	2143
634	3718	2137
635	3724	2131
636	3730	2126
637	3736	2120
638	3742	2114
639	3749	2108
640	3755	2103
641	3761	2097
642	3767	2091
643	3772	2085
644	3778	2079
645	3784	2073
646	3790	2067
647	3796	2062
648	3802	2056
649	3808	2050
650	3814	2044
